SpencerWare,RB,74.2
TerranceWest,RB,74.2
DionLewis,RB,73.6
AlfredMorris,RB,72.8
DeAndreWashington,RB,71.2
JavoriusAllen,RB,71.2
ChrisThompson,RB,66.8
JordanHoward,RB,66.6
ShaunDraughn,RB,66.5
JamesWhite,RB,66.3
KennethDixon,RB,65
AndreEllington,RB,64.5
DanHerron,RB,62.9
C.J.Spiller,RB,62.3
C.J.Prosise,RB,61.7
TimHightower,RB,61.2
ChrisJohnson,RB,60.3
ChristineMichael,RB,59.6
BennyCunningham,RB,57
BishopSankey,RB,56.1
CameronArtis-Payne,RB,55.6
PaulPerkins,RB,55.1
DarrenMcFadden,RB,54.6
AlfredBlue,RB,52
RobertKelley,RB,51
TreMason,RB,50.9
Ka'DeemCarey,RB,50
KeithMarshall,RB,49.7
CharcandrickWest,RB,49.6
KhiryRobinson,RB,48.8
JoshFerguson,RB,46.8
RobertTurbin,RB,46.3
KarlosWilliams,RB,44.2
ReggieBush,RB,43.8
ZachZenner,RB,43.2
MikeTolbert,RB,42.4
TylerErvin,RB,41.1
RoyHelu,RB,39.7
RonnieHillman,RB,37.8
MikeGillislee,RB,37.7
SilasRedd,RB,35
WendellSmallwood,RB,33.2
KenjonBarner,RB,33.2
KenyanDrake,RB,32.1
MarcelReece,RB,31.3
TrentRichardson,RB,29.7
LorenzoTaliaferro,RB,28.5
JordanTodman,RB,28.5
AndreWilliams,RB,28.3
JacquizzRodgers,RB,27.9
DexterMcCluster,RB,27.7
MattAsiata,RB,26.4
DriArcher,RB,25.6
AntonioAndrews,RB,24.5
BrandonBolden,RB,24.3
FozzyWhittaker,RB,24.1
LanceDunbar,RB,23.8
DenardRobinson,RB,23.7
StevanRidley,RB,23.5
BobbyRainey,RB,23
JamizeOlawale,RB,22.4
TerronWard,RB,22.1
StepfanTaylor,RB,21
TaiwanJones,RB,21
JamesDevelin,RB,20.9
DonaldBrown,RB,19.7
TylerGaffney,RB,19.4
ZacStacy,RB,18.4
FitzgeraldToussaint,RB,18.3
ZachLine,RB,18.1
DuJuanHarris,RB,17.7
BruceMiller,RB,17.1
MikeDavis,RB,16.3
KnileDavis,RB,16.2
KyleJuszczyk,RB,15.9
PatrickDiMarco,RB,15.6
KerwynnWilliams,RB,15
DavidCobb,RB,14.9
JonathanGrimes,RB,14.2
MackBrown,RB,14.2
MalcolmBrown,RB,14.2
KelvinTaylor,RB,14
DamienWilliams,RB,13.2
TravarisCadet,RB,12.7
OrleansDarkwa,RB,12.6
JalstonFowler,RB,11.8
JonathanWilliams,RB,11.7
MalcolmJohnson,RB,11.6
AaronRipkowski,RB,10.4
MarcusMurphy,RB,10.3
MichaelBurton,RB,10.2
JuwanThompson,RB,9.6
JoeBanyard,RB,9.5
DanielThomas,RB,9.1
MikeJames,RB,8.9
DreamiusSmith,RB,8.9
DwayneWashington,RB,8.4
KapriBibbs,RB,8.1
RodSmith,RB,7.7
CedricPeerman,RB,7.4
KendallGaskins,RB,7.3
StormJohnson,RB,7.2
RexBurkhead,RB,7.2
ChaseReynolds,RB,7.1
AnthonySherman,RB,6.6
WillJohnson,RB,6.5
DarylRichardson,RB,6.1
JayProsch,RB,5.9
D.J.Foster,RB,5.9
JoeyIosefa,RB,5.6
JohnKuhn,RB,5.4
RaheemMostert,RB,5.4
CyrusGray,RB,5.3
AustinJohnson,RB,5.1
TylerVarga,RB,4.9
RyanHewitt,RB,4.8
JhurellPressley,RB,4.7
DarrinReaves,RB,4.4
TommyBohanon,RB,4.1
KennyHilliard,RB,3.7
DerrickColeman,RB,3.6
GeorgeAtkinson,RB,3.5
AlexCollins,RB,3.1
AkeemHunt,RB,3.1
GeorgeWinn,RB,2.5
GlennWinston,RB,2.3
IsaiahPead,RB,2.2
CoreyGrant,RB,1.9
BrandonWegher,RB,1.5
JohnCrockett,RB,1.2
DanielLasco,RB,1.2
ZacBrooks,RB,0.9
JeromeFelton,RB,0.9
RajionNeal,RB,0.2
TreyWilliams,RB,0.2
TerrellWatson,RB,0.1
AhmadBradshaw,RB,0
TerrenceMagee,RB,0
DarrelYoung,RB,0
AntoneSmith,RB,0
NikitaWhitlock,RB,0
BernardPierce,RB,0
LacheSeastrunk,RB,0
GusJohnson,RB,0
SenorisePerry,RB,0
DariusJackson,RB,-0.1
JamesWilderJr.,RB,-0.4
